,lang_name,iso639_3,glottocode,walscode,printname,Oc.printname,P3.printname,lat,lon,hjust,vjust,Oc.hjust,Oc.vjust,P3.hjust,P3.vjust,coord_notes,print,sort_affiliation,family_genus,genus_wals,genus.print,genus.rough,sclass.long,area.specific,area,area_glottolog,area_wals,refs,lang_comment,ref2,"elicited, pc etc.",include,Morph. Case,NP concord,WO,verb_object_order_wals,WO.WALS.,verb_object_order,WO.complex,adpos.dir,adposition_order_wals,adpos.WALS.sourced,adposition_order,adpositions (tendency),genitive.detail,genitive_order_wals,genitive.WALS.sourced,genitive_order,pro drop,NP order,"DemOrder (WALS clearly has the wrong value according to the citation there, Palmer 2002:503)",DemOrder.simple,demonstrative_order_wals,DemOrder.WALS.sourced,demonstrative_order,Dem. compat.APCdir,definite_article,article_distinct_third,article_order,demonstrative_as_third,third.Dem.complex,demonstrative_w_article,"Demtype (Dist., Pers/Dist)",Dem+Proper,Art+Proper,nominal_person,APC.complex,APC,APC_order,bound_person_order,boundPers.withAPC,person_allowed,person_third_available,number_allowed,person_complex,number_complex,N-Pron,Pron-N,APC+Proper,nominal_person_w_article,APC with def marker,unagreement,Pron-Num,full pronoun,affix,PronNum.non-suppletive,Pron.Num=N-Num,Pron.case=N.case,Modify pron by adj,Dem pron=adnom,Dempron restrictions,3rd=Dem.complex,Def by Dem,Def by 3rd pron,Pron+Dem,PPDC,PPDC_comment,PPDC_ref,Pron>Dem,Dem>Pron,“optional” number marking in NP,assoc. plural,V agr,we + X,inclusory pronoun construction,COMMENTS,PostP+preAPC,refs_bib,PPDC_refs_bib
24,Urim,uri,urim1252,uri,,Urim,,-3.58018,142.653,0.2,-0.7,-0.2,0.0,,,,1.0,"(Papuan) Nuclear Torricelli, Urim",Torricelli,Urim,Urim,Torricelli,"(Papuan) Nuclear Torricelli, Urim","Oceania, Papua New-Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Hemmilä & Luoma 1987:123, 125",,,,y,n,n,VO,,0.0,OV,SVO,pre,,0.0,pre,pre,"inalienable: Gen N, alienable: N Gen",,0.0,NoDom,no,,N Dem,N Dem,,0.0,NDem,n,n,n,,n,n (but 3 sg y),,"3 (4), dist",,,y,y,y,pre,n,,all,y,all?,"all (+1, +3)",all? (+sg with proper name),n,y,y,,,,,,n,,,,,,,n,y,y,y,y,,Hemmilä & Luoma 1987:140,y,n,,,,,,,,"hemmilaeluoma1987[123, 125]",hemmilaeluoma1987[140]
25,Yimas,yee,yima1243,yim,,,,-4.71731,143.572,1.2,1.2,1.2,1.2,1.2,1.2,,0.0,"(Papuan) Ramu-Lower Sepik, Karawari",Ramu-Lower Sepik,Lower Sepik,,Sepik,(Papuan) Ramu-Lower Sepik,"Oceania, Papua-New Guinea","Oceania, Melanesia",,Papunesia,Foley 1991,no info wrt person,,,n,,y,,OV,1.0,OV,,,post,1.0,post,,,GenN,1.0,GenN,,,,,NDem,1.0,NDem,n,,,,,,,,,,no info,no info,no info,,n,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,foley1991,
26,Savosavo,svs,savo1255,svs,,Savosavo,,-9.12853,159.814,,,0.3,1.7,,,,,(Papuan) Savosavo,Savosavo,Savosavo,Savosavo,,(Papuan) Savosavo,"Oceania, Solomon Islands","Oceania, Melanesia",Papunesia,Papunesia,"Wegener 2012:147, 155-159",,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,,,,Dem N,DemN,1.0,DemN,n,"y? (Wegener 85ff. argues for distinction, but forms a identical except 3pl and an additional alternative form for 3sg.f determiner)",y,ArtN,n,n,y,,,,y,y,y,post,n,,,,,"all? (+1, +2)","all? (+pl, +du)",y,n,,unclear,,,,,,,,,,,,y?,,,y,y_nn,no instances with lexical noun,Wegener 2012:86,,,,,,,y,,,"wegener2012[147, 155-159]",wegener2012[86]
27,Manambu,mle,mana1298,mbu,,Manambu,,-4.19082,142.862,-0.1,-0.7,-0.1,0.1,0.1,-0.6,,1.0,"(Papuan) Sepik, Ndu","Sepik, Ndu",Ndu,"Sepik, Ndu",Sepik,"(Papuan) Sepik, Ndu","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Aikhenvald 2008:197f., 508-513",no relevant info wrt nominal person,,,y,y,"y (gender, number, not case)",OV,,0.0,OV,SOV,post,,0.0,post,post,,,0.0,GenN,agree?,Pron Dem1 Dem2 RC Adj N Q,Dem N,Dem N,,0.0,DemN,y,n,n,,n,n,,"3, pers",,,y,y (restricted?),y,pre,n,,all,y,all,all,all,n,y,y,,,,,,n,,,,n,,,n,y,y,y (only 3 acting article-like),y,only 3rd?,Aikhenvald 2008:198,y,n,,y,"y, subject/topic",,,,,"aikhenvald2008[197f., 508-513]",aikhenvald2008[198]
28,Awtuw,kmn,awtu1239,awt,,Awtuw,,-3.53129,141.928,0.5,-0.7,1.0,1.6,1.0,1.6,,1.0,"(Papuan) Sepik, Ram","Sepik, Ram",Ram,"Sepik, Ram",Sepik,"(Papuan) Sepik, Ram","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,Feldman 1986:120-124,,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post?,,GenN,1.0,GenN,,Det N Q,Dem N,Dem N,DemN,1.0,DemN,y,n,n,,n,n,,"2, dist",,,y,y,y,pre,n,,unclear,y,all,"unclear (+3, ?12)",all,n?,y,,,,no info,,,n,,,,,,,n,,y,,,,,,,y,,,,,,y,feldman1986[120-124],
29,Alamblak,amp,alam1246,ala,,Alamblak,,-4.66307,143.316,1.7,1.25,1.15,0.8,1.6,1.1,,1.0,"(Papuan) Sepik, Sepik Hill","Sepik, Sepik Hill",Sepik Hill,"Sepik, Sepik Hill",Sepik,"(Papuan) Sepik, Sepik Hill","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Bruce 1984:90-92, 96f.",,,,y,"(n) [case relators follow the noun as clitics, subject and object Nps are unmarked for case]",n [NP-final inflection],OV,OV,1.0,OV,SOV,post,post,1.0,post,(post?),,GenN,1.0,GenN,,Dem Q Mod N-(modencl) PNG Relator/Case Elevational Emph [p. 100 for constr. with N Dem PNG],Dem N (?),Dem N,DemN,1.0,DemN,n,n,n,,n,n,,"2, dist (enclitics on dem stem, which can be used alone+PGN marker, but can also be dropped)",,,y,no info,n,,post,,all,y,unclear (+pl),all,"all? (+pl, ?sg)",y (info on suffix only!),n?,,,,no info,,,suffix,n,,,,,,n,,,,y,,Bruce 1984:90,,,,,"y (actor, optional undergoer markers)",no info,,elevational markers seem independent from Dem,,"bruce1984[90-92, 96f.]",bruce1984[90]
30,Fore,for,fore1270,for,,Fore,,-6.64473,145.5065,-0.2,1.5,1.0,1.7,0.5,1.6,,1.0,"(Papuan) Trans-New Guinea, Kainantu-Goroka, Gorokan, Fore ","TNG, Kainantu-Goroka",Fore-Gimi,"\gls{tng}, Fore-Gimi",TNG,"(Papuan) TNG, Kainantu-Goroka","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Scott 1978:79f., 100f.",possessive prefixes (inherent) and suffixes may co-occur,,,y,,,OV,OV,1.0,OV,V-final,post,post,1.0,post,post?,,GenN,1.0,GenN,,(Dem) (Descr) N (Numeral),Dem N,Dem N,DemN,1.0,DemN,n,n?,n,,n,n,,,,,y,"(y → recategorised as n due to claim about intonation break, Scott 1978:100)",n,,post,,all,y,all,all,all,y,n?,,,,,,?,suffix,,,,,,,n,,,n,n,,,,,,,,,,,,"scott1978[79f., 100f.]",
31,Hua,,huaa1250,hua,,Hua,,-6.353409,145.339379,1.0,1.45,1.3,0.8,-0.2,1.6,,1.0,"(Papuan) Trans-New Guinea, Kainantu-Goroka, Gorokan","TNG, Kainantu-Goroka",Siane-Yagaria,"\gls{tng}, Siane-Yagaria",TNG,"(Papuan) TNG, Kainantu-Goroka","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Haiman 1980:226-232, 239f.",,,,y,y (erg),,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,,(Genit/Deictic) Quant (Comit/Loc) NounComplex,Dem N,Dem N,DemN,1.0,DemN,n,n,n,,n,n,,"3+, pers? (+one neutral, plus visibility and height distinctions, also anaphoric)",,,y,no info,n,,post,,all,y,all,all,all (but complex system),y (info on suffix only),no info,y (especially),,,,,no info,suffix (restricted),,,,,,,n (3rd only for animate; demonstrative pronouns with addition of nmlz -bo only for inanimate referents),,,n (p. 257 with common nouns only),n,,,,,y,y (for kin terms and proper names),,,,extra deictic suffix may cooccur with Nps containgin prenominal deictic; potentially complex pronouns consisting of person prefix plus invariable root Kai),,"haiman1980[226-232, 239f.]",
32,Yagaria,ygr,yaga1260,ygr,,Yagaria,,-6.32432,145.388,-0.9,0.5,-0.2,0.4,-0.8,0.8,,1.0,"(Papuan) Trans-New Guinea, Kainantu-Goroka, Gorokan, Kamano-Yagaria","TNG, Kainantu-Goroka",Siane-Yagaria,"\gls{tng}, Siane-Yagaria",TNG,"(Papuan) TNG, Kainantu-Goroka","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Renck 1975:17f., 166, 181",,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post?,,GenN,1.0,GenN,(agree?),Dem Poss Descr Substant N Q Qual,Dem N,Dem N,,0.0,DemN,n,n,n,,n,n,,"3, pers (free [long – attrib, short – pronom] and prefix versions)",,,y,y,y,post,post,,all,y,all,all,all,y,n,,,,,,y (i.e. both full and suffix),suffix,systematic (core pronominal form recognizable),n,,,,,n,,,,,,,,,y (i.a. pronom.suffixes used as dual markers),,y (subject suffix),,,,,"renck1975[17f., 166, 181]",
33,Amele,aey,amel1241,ame,,Amele,,-5.29126,145.687,-0.5,-0.3,0.5,1.4,-0.7,-0.2,,1.0,"(Papuan) Trans-New Guinea, Madang, Gum","TNG, Madang",Mabuso,"\gls{tng}, Mabuso",TNG,"(Papuan) TNG, Madang","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"(Q) Roberts 1987:162, 201, 209f.",postnominal APC? We with construction?,,John Roberts (p.c.),y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,agree,PP/interrog N A iEmph Loc (Art/Dem/Quant/Inter) adv,N Dem,N Dem,NDem,1.0,NDem,y,n,n,,n,n,,"3, pers [number marked by following pronoun, only 3rd exs though; notice that full DP may take additional pronominal copy]",,,y,y („pronominal copy“),y,post,n,,all,y,all,"all (+3, +?12, likely)",all,y,n,,,,(y?) (cf. p. 201 exs),,,n,n,n,,,,,n,,,y (The demonstrative adjectives can combine with other pronouns and particles for anaphoric purposes/number marking),y,,"Roberts 1987:210, (284); 218, (315)",n,y,y/n (marked by pronominal copy or verbal prefix),,y (obj),y,,there is a Pron-N construction with intonational pause that may contain a N-Pron construction; pronouns co-occur with indefinite quantifiers (but maybe genitive construction?),,"roberts1987[162, 201, 209f.]","roberts1987[210, (284)];218,(315)"
34,Kobon,kpw,kobo1249,kob,,Kobon,,-5.16446,144.46,1.4,1.25,1.0,1.4,1.4,1.3,,1.0,"(Papuan) Trans-New Guinea, Madang, Kalam","TNG, Madang",Kalam-Kobon,"\gls{tng}, Kalam-Kobon",TNG,"(Papuan) TNG, Madang","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"(Q) Davies 1989:107f., 157",,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,,N Dem,N Dem,N Dem,NDem,1.0,NDem,y,n (oblig indef art),n,,n,n,,"2, dist",,,y,y,y,post,n,,all,y,all,all,all,y,n,,,,,,,n,,,,,,,n,(y),,no info,no info,,,,,number marking only on kinship terms,y (two/three types),y,,y,inclusory pronoun construction,y (ambi),"davies1989[107f., 157]",
35,Usan,wnu,usan1239,usa,,Usan,,-4.84265,145.362,0.4,-0.7,-0.2,0.0,0.4,-0.7,,1.0,"(Papuan) Trans-New Guinea, Madang, Croisilles, Pihom, Numugenan","TNG, Madang",North Adelbert,"\gls{tng}, North Adelbert",TNG,"(Papuan) TNG, Madang","Oceania, Papua-New Guinea","Oceania, Melanesia",Papunesia,Papunesia,"Reesink 1987:53f., 167, 190f., 353",,,,y,n?,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post,,GenN,1.0,GenN,,PossNP + PossPron + Qualif NP + HeadN + (Intensifier) + Adj + Quant + Deict + Det,N Dem,N Dem,NDem,1.0,NDem,n,y (although possibly consisting of „near“ deictic e + „given marker“ -ng),y,NArt,n,n,y,"2, dist (distal distinguishes 3 levels)",,,y,"y (described as „Focusing strategy for Topics“/contrastive topic; examples for “pre” found on pp. 190f., 15/08/23; maybe categorise as both?)",y,both,n,,unclear,y,unclear,post (described as contrastive topic marking: +3; pre: +2,"post: (+sg), pre: +pl",y,n,y,unclear,unclear (pronoun alone can be FOLLOWED by def. art. eng),,,,n,n,"(probably, cf. check of optionality of number)",,"(y, can be followed by determiner eng, meaning „as for“; not clear if compatible with APC)",,,n,n (probably),n,"unclear (pronoun + article, which may consist of dem+givenness marker; though prob. not)",y,,"Reesinck 1987: 190, (141)",y,n,y (seems like no marking apart from APC?),,y (object prefixes),,,,,"reesink1987[53f., 167, 190f., 353]","reesinck1987[190, (141)]"
36,Adang,adn,adan1251,adg,,Adang,13,-8.18958,124.448,0.8,-0.7,1.0,-0.9,0.8,-0.7,,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Alor","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Robinson&Haan 2014:261,,,,y,,,OV,OV,1.0,OV,SOV,post,post,1.0,post,post?,,GenN,1.0,GenN,maybe radical (or rather noun ellipsis stranding article?),(Poss) N V CLF V Num Q Rel Dem/Def,N Dem,N Dem,NDem,1.0,NDem,y,y (maybe specificity marker?),y,NArt,n,n,,"2, dist (+3 vertical levels for distal; considered verbs)",,,y,"restricted (only proper names, ex for object pronouns only)",y,post,n,,only 3,only 3,nonum,only proper names,all (no num distinction in 3obj),y,n,only,y,y?,,y (Pron-nang Numeral),,n,y (systematic sg/pl distinction at least for 12),,,"y? (object in left-disl can co occur with definite det, but also with subj focus markers)",,,n,,,,,,,,,y,,y? (special pronouns),,,article can be stranded,,robinsonhaan2014[261],
37,Kaera,jka,kaer1234,,,Kaera,,-8.3287,124.0177,1.3,0.5,1.2,0.4,,,added since 4.1,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Pantar","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Klamer 2014:129,,,,y,n,n,OV,,0.0,OV,SOV,post,,0.0,post,post,,,0.0,GenN,no? (obligatory P-prefixes),N Attr Clf Num/Quant Dem Part,N Dem,N Dem,,0.0,NDem,y,n?,n,,n,n,,"2?, dist?",,,y,y,y,post,n,,all?,y,all,"all? (+3, ?12)",all (+sg),y,n,y,,,,,,n,y (systematic sg/pl distinction),,,,,,n,,,y,y,,"Klamer 2014:129, (99)",n?,y,y,,,,,,,klamer2014[129],"klamer2014[129, (99)]"
38,Kamang,woi,kama1365,woi,,Kamang,,-8.26897,124.792,-0.25,-0.8,0.1,-0.9,0.8,-0.8,,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Alor","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Schapper 2014:313f.,,,,y,,,OV,OV,1.0,OV,V-final,post,NoDom,1.0,NoDom,post,,GenN,1.0,GenN,no?,PossNP [AgrPos-N Attr NumP RC Dem Art] Appos,N Dem,N Dem,NDem,1.0,NDem,y,y (actually 2: spec and def),y,NArt,n,n,y,"3, dist/pers (described as prox, dist.known/unknown)",,,y,"y (no intonational break, though some distr argument for NP-external appos) ",y,post,n,,all?,y,nonum,"all? (+3, ?12)",all? (no number distinction in 3),y,n,,y,,,,,n,"y (systematic sg/pl distinction for 12, no dist in 3)",,,,,,n,,,,,,,,,y? (and apparently in complem. distr with APC),"y (kin and proper names, lee)","y (S or P, not A)",,,,,schapper2014[313f.],
39,Sawila,swt,sawi1256,,,Sawila,,-8.29105,125.078,-0.3,0.3,-0.2,0.4,0.2,1.7,,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Alor, East, Tanglapui","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Kratchovíl 2014:391,,,Frantisek Kratochvíl (p.c.),y,,,OV,,0.0,OV,V-final,,,0.0,NoAdpos,unclear if adpositions,,,0.0,GenN,radical? („arguments whose referent is recoverable from the context“),Poss-N Mod Num Quant Dem [Dem stackable: Deict Def],N Dem,N Dem,,0.0,NDem,y,unclear (definite form of demonstrative?),n,,n,n,see previous,"2, dist (+ plus additional distinctions deictic, definite, spatial)",,,y,y (appos),y,post,n,,all,y,all,only 3 (explicit reference to 3),"all (number-neutral 3 may follow PL marker, no claim as to necessity of this)",y,n,,,no info,,,,n,"unclear (some sort of systematicity, but less clear than in other Timor-Alor-Pantar)",,,,,,n,,,,,,,,,,,,,,demonstratives can be stacked,,kratchovíl2014[391],
40,Wersing,kvw,wers1238,kln,,Wersing,16,-8.33936,124.932,-0.2,1.6,0.1,1.7,-0.2,1.6,,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Alor","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Schapper&Hendery 2014:472,,,,y,,,OV,,0.0,OV,SOV,,,0.0,NoAdpos,unclear if adpositions,,,0.0,GenN,radical („Free (pro)nominal elements encoding arguments are readily elided...“),(PosNP) [Pos-N Attr Num/Pl RC Det],N Dem,N Dem,,0.0,NDem,y,"y (2: spec, def) [dependent elements, only adnominally]",y,NArt,n,n,"n (or y, depending on analysis of demonstrative)","2, dist (form: Deict + Def)",,,y,y („apposite“; also pronoun „stacking“),y,post,n,,only 3,only 3,nonum,"only 3 (explicitly 3: „In the third person,...“)",all (no number distinction in 3),y,n,,y,unclear [but one example translated with „those“],,,,n,,,,,,,n,,,,,,,,,y (deing),y (separate form from regular plural: naing),"y (apparently als of S, A, P)",,,Different types of pronouns can be stacked,,schapperhendery2014[472],
41,Western Pantar,lev,lamm1241,,,W.Pantar,,-8.52787,124.057,1.1,1.5,0.8,1.6,1.15,1.1,Lamma,1.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Pantar","TNG, TAP",Alor-Pantar,"\gls{tng}, Alor-Pantar",TNG,"(Papuan) TNG, TAP",Oceania,Asia,Papunesia,Papunesia,Holton 2014:53f.,,,,y,,,OV,,0.0,OV,SOV,post,,0.0,post,post (not quite clear),,,0.0,GenN,radical? (some agreement),N Adj Clf Num Dem Art,N Dem,N Dem,,0.0,NDem,y,"y, optional (2 distance distinction!)",y,NArt,n,n,y? (no example given though),"2x2x5 (visible, specific, prox/dist/high/low/level)",,,y,y,y,post,n,,unclear,y,all,"unclear (+3, ?12)",all,y,n,y,y,y (example with sing),,,,n,y (systematic sg/pl distinction),,,,,,n,unclear (specificity marking!),y? („The old men went down“),,,,,,,y,,y (object),,,plural marker cannot occur independently,,holton2014[53f.],
42,Teiwa,twe,teiw1235,,,,,-8.37662,124.174,,,,,,,,0.0,"(Papuan) Trans-New Guinea, Timor-Alor-Pantar, Alor-Pantar, Pantar","TNG, TAP",Alor-Pantar,,TNG,"(Papuan) TNG, TAP, Pantar",Oceania,Asia,Papunesia,Papunesia,Klamer 2010,,,,,n,,OV,,0.0,OV,SOV,no adpositions,,0.0,NoAdpos,no adpositions,,,0.0,GenN,,"Poss N Dem, N A",N Dem,N Dem,,0.0,NDem,n,n,n,,,n,,"2, dist (+1 discourse introducing)",,,no info,no info/unclear,,,n,,,,,,,,,,,,,"unclear (special form for we three, no data on overt N)","n, special form",n,,,,,,,n,y (distal),n,y? (N Pers Dem),,,,y,n?,,,,y? (X and they pronouns),,"no numerals with adnominal demonstratives, but only pronominal form? „X and they“ pronouns",,klamer2010,
43,Komnzo,tci,wara1294,,,Komnzo,Komnzo,-8.64917,141.52,1.6,0.5,0.5,1.6,,,,1.0,"(Papuan) Yam, Morehead-Maro, Tonda, Eastern Tonda","Yam, Morehead-Maro",Morehead-Maro,,Morehead-Maro,"(Papuan) Yam, Morehead, Maro, Tonda, Eastern Tonda","Oceania, Papua New-Guinea","Oceania, Melanesia",Papunesia,Papunesia,Doehler2016:552,,,,,,,OV,,0.0,OV,SOV,post,,0.0,NoAdpos,post,,,0.0,GenN,,Det Mod-1 Head Mod-2 (where Mod-2 includes determiners that can be postposed if no case marker is present),Dem N,Dem N,,0.0,DemN,y,n,n,,n,n,,"4, dist",,,y,y,y,post?,n,,,,,,,,n,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doehler2016[552],
44,Hausa,hau,haus1257,hau,Hausa,Hausa,Hausa,11.1513,8.7804,0.4,-0.7,0.4,-0.7,0.4,-0.7,,1.0,"Afroasiatic, Chadic","Afroasiatic, Chadic",West Chadic,"Afroasiatic, West Chadic",Afroasiatic,"Afroasiatic, Chadic","Africa, West",Africa,Africa,Africa,"Newman 2000:63, 155, 370f.; Jaggar 2001:330f.",,Jaggar 2001,,y,,,VO,VO,1.0,VO,SVO,pre,pre,1.0,pre,pre,,NGen,1.0,NGen,agree,Spec/Determiners Adj-lnk N-Def A,Dem N (Dem),both,mixed,1.0,mixed,y,y,y,NArt,n,n,y (optional),"4, pers/dist (2prox pers, 2 dist remote) [also short and long forms]",,,y,y,y,pre,n,,all,y,all,all,all,n,y,,y,optional,y,"y (appos according to Newman 2000, apparently postnominal)",,n,,,,,,,n,,,y,y,,"Newman 2000:155, 371; Jaggar 2001:331",y,n?,,y (3pl obj marker),,,,,,"newman2000[63, 155, 370f.];jaggar2001[330f.]","newman2000[155, 371];jaggar2001[331]"
45,Mupun,sur,mwag1236,mup,Mupun,Mupun,Mupun,9.47205,8.96522,-0.15,0.3,-0.1,0.4,-0.2,0.4,Mvaghavul,1.0,"Afroasiatic, Chadic","Afroasiatic, Chadic",West Chadic,"Afroasiatic, West Chadic",Afroasiatic,"Afroasiatic, Chadic","Africa, West, Nigeria",Africa,Africa,Africa,Frajzyngier 1993:172,,,,y,,,VO,VO,1.0,VO,SVO,pre,pre,1.0,pre,pre,,NGen,1.0,NGen,,Quant1 Dimin/Augm Head N-mod/Adj/RC Dem Def Pl Q2,Dem N (why is WALS different?),N Dem,NDem,1.0,NDem,n,"y (Np final, usable after proper names, pronouns, demonstratives; identifies a noun phrase as belonging to the de dicto rather than a de re domain)",y,NArt,n,n,y (optional),,,IS,y,y (anaphora example),y,pre,n,,all?,y,all?,"all? (+ 3, ?12)",all? (+sg),n,y,,y,y (obligatory),,,,n,,,,,,,n,,,,,,,,,,y (proper name+plural marker/=3pl pronoun),n,y,,no third deictic pronouns ref. to humans; division between anaphoric and deictic referential system,,frajzyngier1993[172],
46,Gorwaa,gow,goro1270,gor,Gorwaa,Gorwaa,Gorwaa,-4.23575,35.7996,-0.2,0.4,,,,,,1.0,"Afroasiatic, Cushitic, South Cushitic","Afroasiatic, Cushitic",Southern Cushitic,"Afroasiatic, Southern Cushitic",Afroasiatic,"Afroasiatic, Cushitic","Africa, East",Africa,Africa,Africa,Harvey 2018:163,also Gorowa,,,y,,,OV,,0.0,OV,SOV,pre,,0.0,pre,pre,,,0.0,NGen,agree,,N Dem,N Dem,,0.0,NDem,n,n,n,,n,n,,"4, pers+dist",,,y,y,y,pre,n,,,,,unclear (+1),,,,,,,,,,,,,,,,,,,,y,y,,Harvey 2018:116,y,n,,,,,,,,harvey2018[163],harvey2018[116]
